#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.2000D+00   0.2000D+00
#    number density nb   [cm^-3]:   0.1000D+25   0.1000D+25
#    mass array mb         [amu]:   0.5486D-03   0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.1000D+01
#    mass   [amu]:   0.1007D+01
#    mass   [keV]:   0.9383D+06
#    energy [keV]:   0.1200D+05
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+25  0.2000D+00  0.2000D+00  0.6849D-01  0.6849D-01  0.3689D+00  0.2070D-01
# ab  =  0.3268E+02  0.6000E+05
# etab=  0.4561E-01  0.4561E-01
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   242   0.41485714E+03   0.6973238868224E-01   0.2835384622349E-03   0.6944885022000E-01
   243   0.41657143E+03   0.6981067307231E-01   0.2824445735067E-03   0.6952822849880E-01
   244   0.41828571E+03   0.6988726910947E-01   0.2813593220554E-03   0.6960590978741E-01
   245   0.42000000E+03   0.6996219432159E-01   0.2802826514392E-03   0.6968191167015E-01
   246   0.42171429E+03   0.7003546521099E-01   0.2792144131781E-03   0.6975625079781E-01
   247   0.42342857E+03   0.7010709970012E-01   0.2781544594259E-03   0.6982894524069E-01
   248   0.42514286E+03   0.7017711499124E-01   0.2771027412566E-03   0.6990001224998E-01
   249   0.42685714E+03   0.7024553126868E-01   0.2760592368803E-03   0.6996947203180E-01
   250   0.42857143E+03   0.7031236704667E-01   0.2750236990908E-03   0.7003734334758E-01
   251   0.43028571E+03   0.7037764252566E-01   0.2739961118976E-03   0.7010364641376E-01
